"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,175.66,175.77,175.78,175.79,175.84,175.96,175.97,175.9,175.78,175.7,175.6,175.56
2022,175.54,175.49,175.55,175.66,175.71,175.72,175.74,175.72,175.64,175.6,175.6,175.56
2023,175.61,175.65,175.76,175.84,175.9,175.95,175.93,175.9,175.83,175.76,175.72,175.71
2024,175.65,175.62,175.67,175.71,175.73,175.75,175.74,175.68,175.61,175.59,175.53,175.45
2025,175.44,175.53,175.59,175.65,175.63,175.58,175.52,175.45,175.38,175.31,175.24,175.18
2026,175.21,175.26,175.3,175.38,175.36,175.38,175.38,175.35,175.33,175.28,175.26,175.28
2027,175.24,175.37,175.45,175.54,175.56,175.52,175.47,175.46,175.41,175.36,175.41,175.38
2028,175.29,175.21,175.22,175.22,175.21,175.23,175.21,175.15,175.09,175.02,174.94,174.88
2029,174.86,174.88,174.88,174.92,175.03,175.02,174.99,174.98,175.03,175.02,175,174.98
2030,174.95,174.97,175.05,175.15,175.18,175.14,175.09,175.07,175.05,175.05,175.04,175.03
2031,175.07,175.2,175.3,175.44,175.53,175.54,175.59,175.57,175.53,175.52,175.56,175.61
2032,175.59,175.59,175.76,175.86,175.87,175.89,175.92,175.93,175.93,175.92,175.88,175.89
2033,175.84,175.77,175.8,175.82,175.82,175.78,175.74,175.72,175.7,175.66,175.59,175.59
2034,175.57,175.57,175.65,175.78,175.77,175.76,175.73,175.69,175.66,175.63,175.63,175.66
2035,175.65,175.63,175.72,175.75,175.76,175.76,175.73,175.7,175.64,175.59,175.57,175.56
2036,175.57,175.56,175.64,175.7,175.7,175.64,175.58,175.53,175.52,175.46,175.39,175.36
2037,175.36,175.34,175.4,175.47,175.48,175.48,175.46,175.42,175.41,175.38,175.33,175.31
2038,175.29,175.26,175.33,175.45,175.45,175.48,175.47,175.43,175.38,175.31,175.24,175.34
2039,175.31,175.27,175.38,175.46,175.52,175.52,175.5,175.44,175.4,175.33,175.3,175.28
2040,175.33,175.38,175.51,175.6,175.67,175.72,175.71,175.69,175.62,175.54,175.51,175.51
2041,175.48,175.45,175.58,175.71,175.83,175.88,175.9,175.86,175.8,175.75,175.67,175.7
2042,175.64,175.61,175.6,175.64,175.71,175.72,175.67,175.6,175.5,175.41,175.36,175.3
2043,175.25,175.24,175.34,175.48,175.48,175.48,175.47,175.39,175.27,175.19,175.11,175.02
2044,174.96,175.05,175.07,175.18,175.24,175.27,175.27,175.25,175.2,175.17,175.17,175.16
2045,175.12,175.13,175.15,175.18,175.17,175.12,175.06,175,174.95,174.97,174.99,175.02
2046,175.14,175.19,175.32,175.42,175.45,175.46,175.45,175.42,175.37,175.32,175.31,175.3
2047,175.32,175.3,175.42,175.48,175.47,175.45,175.42,175.4,175.35,175.34,175.35,175.37
2048,175.29,175.31,175.43,175.53,175.53,175.51,175.5,175.46,175.42,175.45,175.47,175.46
2049,175.38,175.31,175.38,175.47,175.53,175.6,175.61,175.63,175.65,175.61,175.51,175.47
2050,175.39,175.33,175.4,175.48,175.55,175.57,175.54,175.49,175.41,175.33,175.3,175.38
2051,175.35,175.25,175.22,175.23,175.29,175.29,175.28,175.26,175.19,175.09,175.05,174.99
2052,174.91,174.93,175.08,175.17,175.18,175.2,175.19,175.18,175.16,175.11,175.09,175.08
2053,175.03,175.03,175.12,175.21,175.26,175.24,175.2,175.2,175.15,175.12,175.19,175.14
2054,175.08,175.08,175.13,175.19,175.22,175.19,175.15,175.14,175.12,175.06,175.01,174.96
2055,174.9,174.85,174.9,174.94,174.96,174.95,174.92,174.9,174.86,174.85,174.92,174.88
2056,174.93,175.04,175.17,175.27,175.3,175.34,175.38,175.34,175.3,175.24,175.23,175.27
2057,175.23,175.2,175.37,175.46,175.44,175.4,175.33,175.3,175.24,175.21,175.29,175.23
2058,175.19,175.22,175.41,175.5,175.48,175.51,175.51,175.49,175.51,175.5,175.43,175.41
2059,175.36,175.34,175.4,175.44,175.43,175.4,175.36,175.31,175.26,175.24,175.17,175.09
2060,174.99,174.99,175.11,175.22,175.33,175.41,175.44,175.38,175.31,175.28,175.19,175.11
2061,175,174.94,174.99,175.04,175.09,175.14,175.15,175.13,175.09,175.06,174.98,175
2062,174.92,174.89,175.1,175.2,175.18,175.19,175.19,175.18,175.15,175.08,174.98,174.95
2063,174.91,174.89,175.02,175.1,175.14,175.16,175.18,175.19,175.14,175.12,175.17,175.18
2064,175.14,175.11,175.13,175.18,175.26,175.33,175.34,175.31,175.27,175.21,175.12,175.15
2065,175.03,174.94,174.96,175,175.12,175.2,175.22,175.2,175.24,175.26,175.21,175.17
2066,175.15,175.3,175.38,175.56,175.62,175.64,175.68,175.65,175.59,175.53,175.44,175.42
2067,175.37,175.33,175.31,175.36,175.44,175.52,175.55,175.53,175.47,175.39,175.32,175.28
2068,175.26,175.27,175.35,175.41,175.42,175.39,175.37,175.33,175.27,175.18,175.06,174.97
2069,174.91,174.94,175.09,175.14,175.23,175.34,175.35,175.33,175.33,175.28,175.2,175.33
2070,175.28,175.2,175.26,175.32,175.43,175.44,175.4,175.37,175.32,175.31,175.31,175.25
2071,175.22,175.2,175.21,175.25,175.34,175.36,175.33,175.25,175.16,175.06,175,174.95
