"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,174.63,174.58,174.58,174.68,174.73,174.69,174.62,174.53,174.43,174.34,174.31,174.33
2022,174.35,174.37,174.51,174.81,175,175.02,175.01,174.9,174.77,174.72,174.77,174.81
2023,174.74,174.71,174.74,174.76,174.77,174.8,174.82,174.74,174.65,174.52,174.39,174.34
2024,174.3,174.35,174.43,174.46,174.46,174.42,174.34,174.26,174.18,174.1,174.05,174.06
2025,174.13,174.18,174.26,174.47,174.62,174.62,174.57,174.49,174.38,174.28,174.19,174.15
2026,174.17,174.22,174.27,174.32,174.4,174.43,174.42,174.42,174.37,174.26,174.18,174.2
2027,174.21,174.24,174.32,174.39,174.43,174.39,174.37,174.34,174.26,174.28,174.29,174.27
2028,174.29,174.36,174.46,174.51,174.54,174.56,174.55,174.5,174.4,174.25,174.15,174.11
2029,174.14,174.24,174.42,174.55,174.59,174.62,174.6,174.51,174.45,174.36,174.37,174.45
2030,174.44,174.49,174.6,174.66,174.73,174.75,174.78,174.71,174.66,174.62,174.5,174.45
2031,174.44,174.45,174.49,174.56,174.56,174.49,174.4,174.32,174.24,174.14,174.07,174.07
2032,174.14,174.2,174.28,174.4,174.42,174.36,174.3,174.24,174.16,174.05,173.96,173.92
2033,173.93,174,174.12,174.28,174.37,174.39,174.41,174.35,174.25,174.14,174.1,174.17
2034,174.22,174.19,174.2,174.27,174.33,174.38,174.41,174.36,174.27,174.22,174.17,174.14
2035,174.2,174.24,174.25,174.28,174.29,174.29,174.27,174.23,174.13,174.02,173.95,173.95
2036,173.98,174.08,174.21,174.34,174.39,174.36,174.3,174.23,174.17,174.05,173.93,173.89
2037,173.98,174.07,174.12,174.25,174.35,174.49,174.54,174.43,174.32,174.19,174.06,174
2038,174.02,174.07,174.14,174.19,174.28,174.33,174.3,174.25,174.19,174.12,174.08,174.07
2039,174.05,174.06,174.21,174.41,174.48,174.48,174.48,174.41,174.32,174.3,174.32,174.31
2040,174.35,174.37,174.39,174.53,174.69,174.83,174.85,174.74,174.61,174.5,174.43,174.45
2041,174.46,174.43,174.45,174.51,174.5,174.45,174.37,174.32,174.24,174.14,174.08,174.03
2042,174.01,174.06,174.15,174.24,174.26,174.27,174.27,174.2,174.09,174.02,173.99,173.99
2043,174.06,174.25,174.43,174.52,174.58,174.62,174.6,174.52,174.47,174.42,174.33,174.29
2044,174.25,174.2,174.34,174.52,174.51,174.43,174.38,174.36,174.3,174.17,174.12,174.14
