"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,183.53,183.45,183.4,183.39,183.42,183.48,183.54,183.58,183.6,183.6,183.56,183.45
2022,183.34,183.27,183.23,183.26,183.37,183.47,183.58,183.64,183.61,183.54,183.46,183.36
2023,183.29,183.24,183.17,183.18,183.26,183.37,183.43,183.45,183.46,183.41,183.34,183.26
2024,183.19,183.14,183.1,183.12,183.21,183.33,183.42,183.48,183.49,183.47,183.4,183.3
2025,183.21,183.14,183.1,183.12,183.2,183.28,183.34,183.36,183.33,183.26,183.2,183.09
2026,183,182.94,182.9,182.91,182.98,183.06,183.16,183.24,183.26,183.24,183.2,183.13
2027,183.05,182.97,182.92,182.91,182.99,183.09,183.17,183.26,183.32,183.32,183.26,183.16
2028,183.04,182.95,182.92,182.95,183.07,183.17,183.24,183.29,183.3,183.24,183.14,183.03
2029,182.94,182.89,182.86,182.89,182.99,183.09,183.16,183.23,183.27,183.29,183.27,183.2
2030,183.11,183.03,183,183.02,183.05,183.08,183.11,183.11,183.12,183.1,183.05,182.98
2031,182.89,182.81,182.79,182.79,182.85,182.95,183.05,183.12,183.22,183.32,183.33,183.26
2032,183.18,183.12,183.11,183.14,183.22,183.33,183.41,183.48,183.54,183.5,183.42,183.33
2033,183.25,183.2,183.17,183.21,183.3,183.4,183.47,183.5,183.53,183.56,183.51,183.4
2034,183.3,183.23,183.2,183.2,183.26,183.37,183.45,183.44,183.4,183.32,183.24,183.17
2035,183.11,183.05,183.03,183.05,183.16,183.32,183.46,183.5,183.5,183.5,183.46,183.39
2036,183.3,183.23,183.19,183.18,183.3,183.44,183.46,183.48,183.53,183.52,183.47,183.38
2037,183.29,183.24,183.19,183.18,183.22,183.27,183.32,183.41,183.47,183.47,183.44,183.36
2038,183.24,183.19,183.17,183.2,183.28,183.35,183.43,183.45,183.45,183.43,183.38,183.28
2039,183.15,183.08,183.06,183.09,183.18,183.26,183.32,183.38,183.39,183.34,183.25,183.17
2040,183.1,183.01,182.95,182.97,183.08,183.22,183.33,183.38,183.42,183.49,183.49,183.42
2041,183.3,183.2,183.12,183.11,183.17,183.24,183.29,183.31,183.26,183.19,183.11,183.01
2042,182.92,182.91,182.91,182.98,183.14,183.29,183.35,183.36,183.36,183.36,183.33,183.27
2043,183.21,183.14,183.08,183.06,183.1,183.17,183.24,183.3,183.35,183.41,183.39,183.31
2044,183.25,183.18,183.13,183.14,183.19,183.26,183.33,183.38,183.4,183.4,183.39,183.36
2045,183.26,183.19,183.18,183.19,183.29,183.42,183.49,183.54,183.56,183.5,183.45,183.37
2046,183.25,183.18,183.18,183.22,183.32,183.42,183.47,183.53,183.56,183.52,183.42,183.31
2047,183.2,183.12,183.08,183.11,183.19,183.27,183.32,183.35,183.35,183.32,183.25,183.18
2048,183.09,183.01,182.94,182.94,183.05,183.2,183.31,183.38,183.34,183.28,183.22,183.11
2049,183.03,183.01,182.98,182.98,183.06,183.16,183.23,183.25,183.23,183.18,183.13,183.06
2050,182.98,182.93,182.89,182.92,183.06,183.2,183.31,183.41,183.43,183.41,183.38,183.31
2051,183.23,183.18,183.13,183.12,183.17,183.23,183.29,183.33,183.34,183.27,183.17,183.08
2052,182.98,182.92,182.89,182.92,183.06,183.17,183.23,183.28,183.27,183.19,183.13,183.06
2053,183,182.96,182.92,182.95,183.06,183.2,183.3,183.36,183.37,183.34,183.29,183.18
2054,183.09,183.03,183,183.05,183.2,183.34,183.45,183.55,183.58,183.55,183.5,183.39
2055,183.24,183.16,183.15,183.2,183.28,183.36,183.42,183.47,183.52,183.51,183.44,183.35
2056,183.26,183.18,183.13,183.16,183.25,183.36,183.45,183.49,183.5,183.48,183.42,183.36
2057,183.28,183.22,183.21,183.25,183.38,183.53,183.64,183.68,183.69,183.7,183.67,183.55
2058,183.44,183.35,183.27,183.25,183.26,183.29,183.32,183.37,183.45,183.57,183.59,183.49
2059,183.43,183.4,183.34,183.35,183.45,183.58,183.68,183.69,183.73,183.84,183.87,183.8
2060,183.72,183.63,183.54,183.51,183.57,183.65,183.69,183.73,183.72,183.69,183.66,183.6
2061,183.51,183.43,183.38,183.38,183.43,183.53,183.62,183.69,183.73,183.68,183.57,183.47
2062,183.38,183.29,183.21,183.19,183.23,183.29,183.36,183.44,183.47,183.44,183.37,183.27
2063,183.14,183.07,183.03,183.06,183.16,183.29,183.39,183.43,183.44,183.41,183.37,183.28
2064,183.17,183.08,183.06,183.11,183.2,183.29,183.37,183.4,183.39,183.36,183.3,183.2
2065,183.12,183.07,183.03,183.05,183.14,183.22,183.29,183.34,183.34,183.34,183.31,183.23
2066,183.13,183.09,183.09,183.14,183.27,183.4,183.45,183.5,183.51,183.45,183.38,183.3
2067,183.21,183.15,183.12,183.12,183.19,183.29,183.38,183.47,183.56,183.6,183.55,183.46
2068,183.38,183.32,183.26,183.27,183.36,183.45,183.51,183.53,183.56,183.54,183.48,183.42
