"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,177.08,177.06,177.04,177.08,177.18,177.26,177.28,177.26,177.19,177.11,177.04,176.97
2022,176.89,176.84,176.87,176.93,177,177.08,177.15,177.16,177.17,177.18,177.15,177.1
2023,177.04,176.99,177.04,177.13,177.21,177.26,177.27,177.26,177.24,177.19,177.11,177.03
2024,176.95,176.9,176.89,176.95,177.06,177.16,177.23,177.26,177.26,177.26,177.23,177.16
2025,177.09,177.07,177.07,177.1,177.22,177.32,177.35,177.34,177.32,177.31,177.27,177.19
2026,177.15,177.14,177.2,177.27,177.29,177.31,177.32,177.34,177.33,177.27,177.18,177.08
2027,177.01,176.95,176.93,176.98,177.09,177.14,177.14,177.13,177.09,177.02,176.97,176.92
2028,176.85,176.78,176.72,176.75,176.83,176.91,176.97,176.99,176.99,176.97,176.89,176.79
2029,176.69,176.62,176.58,176.61,176.68,176.74,176.77,176.79,176.76,176.69,176.6,176.51
2030,176.45,176.4,176.36,176.35,176.36,176.34,176.31,176.27,176.2,176.13,176.06,175.98
2031,175.91,175.86,175.87,175.94,176.04,176.12,176.15,176.15,176.09,176,175.91,175.82
2032,175.78,175.77,175.78,175.87,175.99,176.08,176.09,176.1,176.1,176.1,176.09,176.06
2033,176.04,176.02,176.03,176.17,176.38,176.54,176.59,176.57,176.55,176.58,176.58,176.52
2034,176.48,176.46,176.44,176.49,176.63,176.71,176.7,176.72,176.74,176.73,176.71,176.62
2035,176.53,176.49,176.48,176.53,176.63,176.71,176.76,176.79,176.8,176.82,176.83,176.81
2036,176.74,176.71,176.73,176.8,176.9,176.98,177.04,177.04,176.98,176.92,176.86,176.78
2037,176.73,176.71,176.7,176.73,176.82,176.88,176.92,176.94,176.92,176.89,176.83,176.75
2038,176.67,176.65,176.66,176.73,176.8,176.86,176.88,176.86,176.85,176.83,176.83,176.83
2039,176.8,176.77,176.75,176.82,176.91,176.94,176.95,176.92,176.85,176.79,176.7,176.62
2040,176.58,176.56,176.63,176.74,176.79,176.79,176.76,176.75,176.81,176.85,176.85,176.79
2041,176.69,176.64,176.62,176.66,176.73,176.78,176.83,176.83,176.82,176.81,176.78,176.73
2042,176.7,176.69,176.68,176.76,176.84,176.83,176.81,176.78,176.71,176.79,176.94,176.9
