"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,183.55,183.49,183.47,183.52,183.6,183.69,183.76,183.8,183.8,183.77,183.71,183.61
2022,183.5,183.43,183.41,183.44,183.54,183.65,183.69,183.67,183.67,183.66,183.6,183.52
2023,183.43,183.36,183.31,183.33,183.41,183.5,183.58,183.61,183.63,183.66,183.65,183.57
2024,183.46,183.4,183.36,183.39,183.45,183.5,183.56,183.59,183.61,183.59,183.52,183.45
2025,183.34,183.24,183.24,183.3,183.35,183.47,183.57,183.57,183.59,183.64,183.66,183.63
2026,183.54,183.47,183.42,183.43,183.49,183.54,183.58,183.63,183.68,183.7,183.71,183.64
2027,183.52,183.45,183.39,183.37,183.4,183.44,183.49,183.55,183.6,183.58,183.52,183.45
2028,183.38,183.33,183.31,183.31,183.41,183.54,183.6,183.68,183.69,183.62,183.54,183.47
2029,183.42,183.35,183.29,183.3,183.42,183.53,183.62,183.71,183.76,183.72,183.63,183.53
2030,183.44,183.38,183.32,183.3,183.41,183.54,183.61,183.7,183.74,183.72,183.69,183.64
2031,183.54,183.46,183.41,183.37,183.37,183.37,183.37,183.35,183.38,183.43,183.47,183.47
2032,183.38,183.29,183.22,183.18,183.19,183.23,183.32,183.41,183.46,183.44,183.38,183.32
2033,183.22,183.2,183.2,183.24,183.35,183.49,183.56,183.6,183.62,183.55,183.48,183.39
2034,183.27,183.19,183.12,183.12,183.22,183.33,183.4,183.46,183.45,183.4,183.34,183.26
2035,183.16,183.08,183.04,183.06,183.14,183.26,183.35,183.38,183.37,183.31,183.23,183.14
2036,183.04,182.97,182.96,182.97,183.01,183.06,183.1,183.12,183.11,183.08,183.03,182.95
2037,182.89,182.85,182.81,182.82,182.87,182.95,183.03,183.07,183.08,183.11,183.13,183.08
2038,183.01,182.99,182.98,182.99,183.06,183.17,183.24,183.25,183.26,183.26,183.22,183.15
2039,183.06,182.99,182.96,183.01,183.1,183.19,183.26,183.29,183.29,183.27,183.23,183.14
2040,183.06,183,182.97,182.98,183.03,183.1,183.18,183.24,183.27,183.25,183.2,183.14
2041,183.05,182.98,182.95,182.97,183.02,183.09,183.18,183.26,183.31,183.29,183.21,183.15
2042,183.09,183.05,183.04,183.07,183.18,183.28,183.32,183.34,183.37,183.37,183.32,183.23
2043,183.17,183.12,183.08,183.07,183.17,183.3,183.41,183.49,183.54,183.59,183.59,183.52
2044,183.42,183.34,183.25,183.29,183.43,183.51,183.54,183.56,183.56,183.53,183.46,183.37
2045,183.3,183.24,183.19,183.19,183.28,183.37,183.44,183.51,183.55,183.53,183.48,183.41
2046,183.31,183.23,183.19,183.23,183.32,183.37,183.42,183.51,183.58,183.65,183.74,183.71
2047,183.62,183.54,183.48,183.48,183.52,183.57,183.59,183.6,183.58,183.52,183.44,183.34
2048,183.23,183.15,183.13,183.17,183.28,183.37,183.46,183.57,183.63,183.6,183.57,183.49
2049,183.41,183.33,183.32,183.37,183.47,183.56,183.6,183.61,183.62,183.64,183.6,183.52
2050,183.42,183.34,183.28,183.27,183.36,183.47,183.53,183.57,183.59,183.58,183.54,183.45
2051,183.38,183.32,183.29,183.33,183.41,183.5,183.57,183.6,183.63,183.62,183.53,183.44
2052,183.33,183.25,183.23,183.23,183.28,183.36,183.42,183.44,183.4,183.34,183.27,183.17
2053,183.08,183.02,183.03,183.15,183.33,183.47,183.59,183.69,183.74,183.76,183.72,183.62
2054,183.5,183.39,183.32,183.34,183.44,183.52,183.56,183.61,183.63,183.58,183.5,183.42
2055,183.31,183.24,183.18,183.18,183.22,183.26,183.3,183.34,183.36,183.33,183.28,183.21
2056,183.12,183.06,183.02,183.06,183.2,183.31,183.36,183.39,183.36,183.29,183.24,183.18
2057,183.09,183.01,182.98,182.99,183.05,183.11,183.2,183.28,183.33,183.31,183.23,183.16
2058,183.11,183.06,183.02,183.04,183.11,183.17,183.21,183.24,183.25,183.23,183.19,183.11
2059,183.01,182.94,182.93,182.97,183.03,183.11,183.16,183.18,183.23,183.25,183.18,183.09
2060,183,182.91,182.86,182.88,182.96,183.05,183.1,183.12,183.12,183.07,183.01,182.93
2061,182.87,182.85,182.83,182.89,183.06,183.2,183.31,183.38,183.41,183.39,183.34,183.28
2062,183.19,183.11,183.08,183.1,183.2,183.29,183.35,183.4,183.38,183.34,183.29,183.18
2063,183.08,183.03,183,183.03,183.13,183.25,183.38,183.47,183.5,183.49,183.42,183.33
2064,183.25,183.16,183.13,183.17,183.22,183.3,183.36,183.38,183.39,183.38,183.32,183.24
2065,183.16,183.13,183.12,183.14,183.23,183.33,183.4,183.39,183.34,183.28,183.22,183.15
2066,183.09,183.06,183.05,183.09,183.19,183.32,183.4,183.42,183.45,183.44,183.38,183.28
2067,183.17,183.09,183.05,183.07,183.15,183.22,183.28,183.34,183.4,183.39,183.32,183.24
2068,183.15,183.09,183.06,183.04,183.12,183.23,183.31,183.37,183.41,183.45,183.44,183.4
2069,183.34,183.27,183.24,183.32,183.52,183.73,183.82,183.83,183.85,183.81,183.75,183.67
2070,183.58,183.49,183.43,183.45,183.59,183.7,183.76,183.76,183.72,183.7,183.66,183.57
2071,183.47,183.4,183.35,183.37,183.53,183.65,183.68,183.72,183.75,183.75,183.7,183.61
2072,183.52,183.44,183.36,183.36,183.46,183.58,183.65,183.67,183.68,183.66,183.61,183.53
2073,183.43,183.36,183.33,183.34,183.4,183.48,183.53,183.53,183.52,183.56,183.55,183.47
2074,183.37,183.32,183.28,183.33,183.45,183.55,183.67,183.76,183.83,183.84,183.79,183.71
2075,183.62,183.56,183.52,183.53,183.61,183.71,183.78,183.78,183.77,183.73,183.7,183.64
2076,183.54,183.48,183.45,183.48,183.59,183.72,183.78,183.77,183.77,183.76,183.71,183.61
2077,183.5,183.4,183.37,183.39,183.49,183.62,183.7,183.77,183.82,183.82,183.73,183.62
2078,183.52,183.44,183.43,183.44,183.47,183.52,183.57,183.66,183.72,183.73,183.69,183.58
2079,183.47,183.36,183.29,183.3,183.37,183.45,183.5,183.51,183.5,183.55,183.57,183.48
2080,183.38,183.32,183.33,183.36,183.4,183.44,183.48,183.47,183.47,183.45,183.4,183.33
