"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,177.11,177.12,177.13,177.22,177.32,177.38,177.39,177.38,177.29,177.15,177.05,176.99
2022,176.92,176.89,176.91,176.97,177.05,177.12,177.16,177.15,177.14,177.13,177.1,177.08
2023,177.03,176.98,176.94,176.97,177.06,177.14,177.17,177.17,177.15,177.09,177.01,176.98
2024,176.94,176.88,176.84,176.85,176.91,176.95,176.95,176.91,176.9,176.92,176.84,176.74
2025,176.68,176.64,176.66,176.7,176.73,176.78,176.78,176.74,176.67,176.58,176.49,176.44
2026,176.39,176.33,176.32,176.37,176.47,176.53,176.54,176.56,176.54,176.49,176.43,176.33
2027,176.27,176.28,176.31,176.37,176.5,176.58,176.61,176.59,176.57,176.57,176.54,176.47
2028,176.44,176.41,176.38,176.43,176.55,176.63,176.68,176.7,176.67,176.66,176.68,176.67
2029,176.63,176.59,176.58,176.63,176.66,176.67,176.67,176.63,176.59,176.54,176.47,176.43
2030,176.38,176.33,176.3,176.35,176.44,176.5,176.51,176.5,176.48,176.4,176.33,176.3
2031,176.26,176.21,176.19,176.21,176.25,176.28,176.29,176.28,176.24,176.22,176.17,176.08
2032,176.02,176,176.05,176.18,176.32,176.41,176.46,176.46,176.42,176.35,176.28,176.21
2033,176.18,176.18,176.21,176.33,176.5,176.62,176.69,176.74,176.75,176.69,176.62,176.59
2034,176.57,176.53,176.54,176.59,176.62,176.65,176.65,176.62,176.58,176.54,176.49,176.45
2035,176.41,176.42,176.43,176.51,176.69,176.85,176.92,176.93,176.92,176.89,176.85,176.79
2036,176.74,176.73,176.74,176.75,176.82,176.88,176.86,176.79,176.69,176.62,176.6,176.59
2037,176.59,176.55,176.51,176.6,176.75,176.82,176.83,176.83,176.79,176.78,176.78,176.69
2038,176.62,176.57,176.56,176.63,176.72,176.76,176.76,176.73,176.7,176.66,176.61,176.54
2039,176.46,176.43,176.47,176.57,176.64,176.67,176.67,176.63,176.59,176.56,176.54,176.49
2040,176.44,176.43,176.46,176.51,176.64,176.78,176.85,176.88,176.88,176.9,176.89,176.84
2041,176.79,176.77,176.77,176.83,176.93,176.96,176.96,176.96,176.94,176.89,176.83,176.74
2042,176.67,176.67,176.73,176.88,177.13,177.3,177.34,177.36,177.34,177.36,177.42,177.38
2043,177.31,177.26,177.24,177.28,177.29,177.27,177.25,177.25,177.23,177.14,177.03,176.94
2044,176.86,176.83,176.83,176.9,176.98,177.04,177.08,177.05,177,176.95,176.86,176.77
2045,176.68,176.61,176.6,176.65,176.71,176.77,176.84,176.83,176.81,176.77,176.69,176.61
2046,176.54,176.5,176.51,176.61,176.73,176.79,176.87,176.89,176.87,176.9,176.91,176.86
2047,176.81,176.76,176.72,176.81,176.97,177.07,177.14,177.16,177.18,177.2,177.17,177.12
2048,177.05,177.01,177.02,177.09,177.13,177.15,177.16,177.13,177.12,177.11,177.04,176.96
2049,176.9,176.84,176.85,176.88,176.9,176.91,176.93,176.92,176.88,176.87,176.87,176.85
2050,176.79,176.75,176.74,176.8,176.88,176.94,176.98,177,176.96,176.92,176.9,176.79
2051,176.68,176.62,176.65,176.72,176.79,176.87,176.9,176.87,176.81,176.75,176.69,176.63
2052,176.61,176.64,176.67,176.7,176.72,176.71,176.69,176.69,176.67,176.57,176.51,176.49
2053,176.44,176.38,176.34,176.37,176.45,176.52,176.55,176.54,176.53,176.49,176.4,176.33
2054,176.29,176.26,176.23,176.26,176.35,176.46,176.49,176.46,176.45,176.44,176.38,176.31
2055,176.28,176.26,176.26,176.33,176.47,176.58,176.62,176.62,176.59,176.51,176.41,176.33
2056,176.25,176.25,176.3,176.43,176.54,176.56,176.61,176.64,176.69,176.76,176.81,176.79
2057,176.72,176.71,176.72,176.75,176.8,176.86,176.92,176.92,176.88,176.82,176.75,176.65
2058,176.59,176.58,176.56,176.59,176.65,176.68,176.69,176.67,176.62,176.54,176.47,176.41
2059,176.36,176.3,176.25,176.25,176.26,176.26,176.26,176.21,176.15,176.12,176.07,176.02
2060,176,175.97,175.98,176.03,176.09,176.11,176.12,176.1,176.06,176.07,176.04,175.97
2061,175.88,175.83,175.84,175.92,176.02,176.06,176.08,176.1,176.09,176.02,175.93,175.86
