"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,174.65,174.71,174.8,174.88,174.93,174.9,174.85,174.78,174.7,174.57,174.48,174.49
2022,174.58,174.67,174.73,174.77,174.73,174.63,174.52,174.46,174.39,174.24,174.15,174.17
2023,174.21,174.24,174.32,174.41,174.48,174.49,174.47,174.4,174.34,174.28,174.22,174.27
2024,174.35,174.43,174.49,174.54,174.64,174.71,174.71,174.67,174.59,174.46,174.34,174.32
2025,174.41,174.48,174.68,174.91,174.94,174.92,174.88,174.76,174.62,174.54,174.5,174.56
2026,174.64,174.69,174.75,174.76,174.76,174.7,174.6,174.56,174.5,174.35,174.24,174.17
2027,174.17,174.19,174.22,174.28,174.35,174.35,174.32,174.28,174.19,174.07,174.03,174.1
2028,174.14,174.12,174.21,174.37,174.42,174.42,174.41,174.34,174.26,174.19,174.11,174.1
2029,174.12,174.11,174.19,174.35,174.46,174.61,174.69,174.6,174.46,174.29,174.17,174.16
2030,174.18,174.19,174.23,174.31,174.33,174.28,174.23,174.2,174.15,174.06,173.99,174.08
2031,174.15,174.14,174.2,174.34,174.44,174.44,174.47,174.44,174.36,174.27,174.15,174.12
2032,174.12,174.16,174.27,174.33,174.38,174.37,174.3,174.27,174.23,174.14,174.09,174.1
2033,174.11,174.12,174.25,174.46,174.63,174.77,174.78,174.68,174.55,174.41,174.3,174.21
2034,174.19,174.22,174.29,174.43,174.49,174.4,174.3,174.2,174.07,173.9,173.9,173.96
2035,174.03,174.28,174.45,174.47,174.45,174.38,174.32,174.28,174.2,174.08,174.05,174.26
2036,174.39,174.36,174.42,174.49,174.47,174.41,174.36,174.29,174.21,174.13,174.1,174.13
2037,174.14,174.14,174.21,174.32,174.42,174.43,174.37,174.33,174.26,174.15,174.06,174.12
2038,174.19,174.2,174.26,174.34,174.43,174.46,174.49,174.45,174.39,174.34,174.24,174.15
2039,174.18,174.25,174.28,174.33,174.38,174.38,174.36,174.28,174.21,174.12,174.08,174.12
2040,174.24,174.34,174.38,174.44,174.53,174.66,174.68,174.6,174.47,174.35,174.26,174.26
2041,174.28,174.31,174.4,174.49,174.53,174.51,174.48,174.47,174.48,174.43,174.36,174.42
2042,174.48,174.57,174.66,174.65,174.68,174.67,174.57,174.47,174.38,174.26,174.18,174.2
2043,174.2,174.21,174.23,174.29,174.36,174.39,174.38,174.31,174.23,174.17,174.16,174.18
2044,174.48,174.7,174.69,174.72,174.7,174.64,174.58,174.5,174.38,174.22,174.13,174.1
2045,174.12,174.14,174.2,174.31,174.35,174.31,174.28,174.27,174.2,174.11,174.09,174.12
2046,174.15,174.18,174.3,174.46,174.55,174.6,174.62,174.57,174.49,174.43,174.37,174.38
2047,174.43,174.45,174.53,174.62,174.67,174.68,174.66,174.58,174.45,174.33,174.28,174.27
