"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,175.69,175.78,175.88,175.86,175.82,175.77,175.7,175.63,175.52,175.43,175.38,175.36
2022,175.33,175.34,175.33,175.46,175.49,175.46,175.4,175.34,175.25,175.17,175.11,175.07
2023,175.19,175.18,175.25,175.4,175.51,175.56,175.56,175.53,175.49,175.49,175.52,175.63
2024,175.75,175.74,175.79,175.84,175.8,175.75,175.77,175.77,175.7,175.59,175.49,175.55
2025,175.74,175.86,175.85,175.86,175.79,175.69,175.62,175.53,175.42,175.34,175.28,175.3
2026,175.25,175.24,175.38,175.44,175.46,175.48,175.45,175.41,175.36,175.27,175.21,175.21
2027,175.18,175.2,175.25,175.31,175.35,175.33,175.28,175.29,175.28,175.2,175.12,175.1
2028,175.07,175.08,175.3,175.32,175.32,175.31,175.29,175.29,175.24,175.16,175.11,175.06
2029,175.09,175.22,175.27,175.29,175.33,175.32,175.31,175.27,175.21,175.16,175.18,175.18
2030,175.14,175.11,175.15,175.22,175.39,175.51,175.52,175.44,175.32,175.2,175.05,174.94
2031,174.91,174.97,175.07,175.1,175.13,175.17,175.22,175.2,175.14,175.1,174.99,174.92
2032,174.91,174.9,174.96,175.02,175.03,175.04,175.02,174.96,174.89,174.86,174.84,174.78
2033,174.82,174.9,175.06,175.15,175.19,175.14,175.1,175.07,175,174.94,174.89,174.82
2034,174.78,174.81,174.88,174.96,175.01,175.02,175,174.98,174.94,174.9,174.81,174.78
2035,174.77,174.72,174.84,174.88,174.88,174.88,174.89,174.88,174.82,174.71,174.64,174.57
2036,174.54,174.6,174.79,174.86,174.86,174.87,174.87,174.83,174.78,174.74,174.73,174.76
2037,174.73,174.72,174.84,174.96,175.01,175,174.96,174.92,174.85,174.9,174.95,174.95
2038,174.91,174.97,175.17,175.23,175.18,175.14,175.07,175,174.92,174.82,174.73,174.66
2039,174.63,174.7,174.75,174.86,174.92,174.94,174.93,174.92,174.9,174.88,174.9,174.91
2040,174.88,174.86,174.98,175.02,175.03,174.98,174.94,174.9,174.85,174.78,174.77,174.76
2041,174.72,174.72,174.85,174.97,175.02,175.09,175.11,175.1,175.05,175.03,175.06,175.02
2042,175.01,175,175.1,175.18,175.27,175.27,175.26,175.25,175.19,175.16,175.27,175.41
2043,175.42,175.36,175.39,175.43,175.5,175.56,175.58,175.56,175.49,175.42,175.4,175.53
2044,175.48,175.41,175.49,175.53,175.49,175.48,175.45,175.41,175.35,175.27,175.2,175.15
2045,175.14,175.1,175.25,175.32,175.33,175.36,175.38,175.34,175.27,175.23,175.18,175.18
2046,175.11,175.11,175.16,175.15,175.12,175.13,175.14,175.12,175.11,175.02,174.92,174.87
2047,174.8,174.79,174.91,174.98,175.02,175.05,175.04,174.99,174.92,174.86,174.95,174.98
2048,174.95,174.96,175.17,175.27,175.27,175.25,175.21,175.17,175.12,175.06,175.04,175.07
2049,175.04,175.03,175.11,175.14,175.13,175.12,175.09,175.06,175.02,174.96,174.91,174.92
2050,174.85,174.8,174.85,175.01,175.06,175.1,175.1,175.08,175.03,174.97,174.9,174.84
2051,174.84,174.88,174.93,175.04,175.05,175.02,175,175.01,174.97,174.9,174.81,174.74
2052,174.73,174.82,174.88,174.97,174.99,175.03,175.02,174.99,174.96,174.9,174.85,174.82
2053,174.88,174.9,175.09,175.23,175.21,175.21,175.19,175.14,175.07,175.01,174.98,174.96
2054,174.92,174.9,174.94,174.99,175.05,175.09,175.12,175.1,175.08,175,174.91,174.88
2055,174.87,174.88,175.03,175.06,175.03,175.01,174.97,174.91,174.82,174.72,174.63,174.57
2056,174.56,174.58,174.71,174.87,175.01,175.05,175.06,175.01,174.94,174.9,174.85,174.84
