"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,177.11,177.1,177.06,177.09,177.2,177.31,177.36,177.34,177.28,177.23,177.15,177.08
2022,177.03,176.99,176.96,176.98,177.02,177.08,177.09,177.06,176.99,176.95,176.9,176.82
2023,176.77,176.75,176.74,176.76,176.83,176.92,177,177,176.94,176.84,176.71,176.58
2024,176.5,176.48,176.5,176.55,176.62,176.67,176.69,176.67,176.62,176.52,176.41,176.34
2025,176.27,176.21,176.19,176.22,176.29,176.36,176.42,176.46,176.43,176.37,176.31,176.26
2026,176.21,176.19,176.22,176.29,176.37,176.45,176.5,176.5,176.45,176.4,176.39,176.4
2027,176.41,176.44,176.49,176.59,176.72,176.86,176.97,176.98,176.92,176.85,176.82,176.77
2028,176.72,176.7,176.7,176.74,176.85,176.99,177.08,177.07,176.98,176.93,176.91,176.87
2029,176.84,176.84,176.85,176.89,176.96,177.01,177.05,177.1,177.08,177,176.93,176.85
2030,176.81,176.81,176.86,176.94,177.01,177.07,177.1,177.08,177.04,177.01,176.94,176.84
2031,176.76,176.75,176.79,176.87,176.97,177.06,177.1,177.1,177.04,176.94,176.85,176.74
2032,176.7,176.69,176.68,176.78,176.93,177.03,177.07,177.08,177.06,177,176.95,176.91
2033,176.86,176.83,176.87,176.95,177,177.09,177.18,177.17,177.14,177.14,177.12,177.05
2034,176.99,176.98,177.03,177.13,177.26,177.39,177.49,177.55,177.57,177.59,177.6,177.56
2035,177.51,177.49,177.49,177.55,177.61,177.63,177.68,177.69,177.63,177.57,177.52,177.43
2036,177.37,177.32,177.29,177.32,177.38,177.44,177.49,177.55,177.54,177.47,177.42,177.36
2037,177.3,177.23,177.18,177.2,177.29,177.35,177.37,177.36,177.3,177.23,177.15,177.08
2038,177,176.96,176.98,177.05,177.13,177.16,177.17,177.19,177.19,177.15,177.1,177.06
2039,177.02,176.99,176.98,177.04,177.14,177.24,177.31,177.3,177.22,177.1,176.98,176.86
2040,176.78,176.8,176.94,177.11,177.21,177.3,177.35,177.32,177.26,177.21,177.16,177.07
2041,177,176.96,176.94,177.02,177.13,177.18,177.25,177.28,177.26,177.24,177.18,177.16
2042,177.15,177.13,177.13,177.17,177.23,177.27,177.29,177.27,177.2,177.14,177.07,177.02
2043,176.95,176.91,176.9,176.95,177.02,177.04,177.07,177.07,177.04,177.02,177,176.97
2044,176.95,176.96,176.96,177.01,177.1,177.16,177.2,177.23,177.23,177.19,177.14,177.07
2045,177.02,177.04,177.08,177.14,177.23,177.28,177.29,177.26,177.27,177.28,177.24,177.2
2046,177.14,177.1,177.12,177.19,177.29,177.39,177.5,177.54,177.53,177.53,177.48,177.38
2047,177.31,177.28,177.32,177.39,177.43,177.44,177.42,177.4,177.33,177.29,177.27,177.17
2048,177.1,177.08,177.09,177.15,177.24,177.31,177.36,177.38,177.35,177.31,177.26,177.21
2049,177.18,177.13,177.11,177.14,177.19,177.22,177.23,177.19,177.12,177.07,176.97,176.9
2050,176.86,176.85,176.83,176.89,177.04,177.15,177.2,177.19,177.15,177.11,177.07,177.02
2051,176.95,176.95,177,177.07,177.18,177.24,177.26,177.31,177.3,177.31,177.32,177.24
2052,177.19,177.17,177.18,177.25,177.34,177.39,177.43,177.45,177.44,177.42,177.41,177.37
2053,177.34,177.36,177.37,177.38,177.41,177.41,177.38,177.34,177.29,177.23,177.13,177.03
2054,176.99,176.98,177.01,177.11,177.24,177.34,177.41,177.42,177.38,177.37,177.32,177.21
2055,177.14,177.09,177.09,177.17,177.29,177.33,177.35,177.35,177.3,177.25,177.23,177.22
2056,177.2,177.15,177.1,177.11,177.14,177.14,177.13,177.13,177.13,177.11,177.05,177
2057,176.93,176.92,176.96,177.01,177.09,177.16,177.2,177.2,177.22,177.23,177.18,177.11
2058,177.06,177.03,177,177.04,177.18,177.35,177.49,177.55,177.55,177.51,177.44,177.36
2059,177.32,177.32,177.29,177.31,177.34,177.33,177.34,177.33,177.29,177.23,177.14,177.04
