"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,175.55,175.58,175.66,175.83,175.81,175.85,175.86,175.83,175.74,175.72,175.64,175.57
2022,175.5,175.56,175.65,175.68,175.67,175.66,175.64,175.6,175.5,175.46,175.44,175.46
2023,175.43,175.41,175.51,175.57,175.67,175.67,175.65,175.62,175.57,175.49,175.42,175.38
2024,175.4,175.4,175.43,175.43,175.4,175.35,175.3,175.24,175.18,175.11,175.06,175.05
2025,175.03,175.04,175.16,175.34,175.41,175.41,175.4,175.39,175.33,175.27,175.23,175.18
2026,175.14,175.16,175.34,175.5,175.54,175.55,175.55,175.5,175.42,175.35,175.31,175.22
2027,175.15,175.16,175.25,175.31,175.33,175.37,175.38,175.35,175.29,175.24,175.16,175.08
2028,175.2,175.24,175.32,175.41,175.48,175.48,175.48,175.46,175.41,175.46,175.43,175.46
2029,175.39,175.28,175.29,175.32,175.29,175.28,175.24,175.2,175.16,175.06,174.95,174.9
2030,174.98,175,175.14,175.25,175.31,175.29,175.31,175.32,175.29,175.21,175.12,175.08
2031,175.06,175.13,175.2,175.34,175.37,175.41,175.39,175.37,175.35,175.35,175.36,175.38
2032,175.37,175.39,175.43,175.48,175.48,175.51,175.5,175.46,175.42,175.36,175.31,175.3
2033,175.33,175.44,175.49,175.56,175.75,175.82,175.78,175.72,175.66,175.58,175.5,175.46
2034,175.51,175.58,175.64,175.74,175.86,175.87,175.82,175.75,175.66,175.55,175.48,175.45
2035,175.43,175.48,175.67,175.83,175.83,175.94,175.94,175.9,175.88,175.81,175.71,175.7
2036,175.7,175.72,175.77,175.82,175.87,175.88,175.88,175.87,175.86,175.86,175.85,175.84
2037,175.84,175.82,176.07,176.1,176.13,176.17,176.2,176.17,176.12,176.08,176.08,176.08
2038,176.06,176.09,176.15,176.23,176.23,176.24,176.22,176.15,176.08,176.02,175.94,175.87
2039,175.84,175.97,176.04,176.05,176.04,176.03,176,175.94,175.86,175.8,175.79,175.79
2040,175.74,175.69,175.75,175.84,176,176.02,176.01,175.97,175.88,175.83,175.76,175.67
2041,175.64,175.59,175.63,175.69,175.72,175.66,175.61,175.58,175.54,175.51,175.49,175.41
2042,175.37,175.51,175.61,175.68,175.73,175.77,175.79,175.74,175.68,175.62,175.55,175.55
2043,175.51,175.49,175.51,175.54,175.61,175.68,175.69,175.67,175.64,175.6,175.6,175.63
2044,175.59,175.56,175.64,175.7,175.72,175.72,175.7,175.64,175.58,175.51,175.41,175.35
2045,175.32,175.34,175.43,175.45,175.43,175.4,175.35,175.31,175.25,175.18,175.15,175.13
2046,175.09,175.12,175.16,175.19,175.24,175.26,175.25,175.27,175.25,175.19,175.17,175.1
2047,175.04,175.04,175.08,175.2,175.31,175.35,175.36,175.32,175.26,175.19,175.09,175.08
2048,175.07,175.24,175.29,175.34,175.42,175.48,175.5,175.47,175.47,175.41,175.33,175.26
2049,175.19,175.22,175.31,175.38,175.4,175.45,175.47,175.44,175.4,175.39,175.37,175.35
2050,175.31,175.29,175.34,175.43,175.51,175.59,175.61,175.6,175.54,175.49,175.46,175.44
2051,175.4,175.41,175.59,175.69,175.72,175.73,175.73,175.7,175.63,175.54,175.49,175.51
2052,175.45,175.37,175.44,175.5,175.51,175.5,175.46,175.42,175.38,175.38,175.35,175.3
2053,175.29,175.42,175.5,175.51,175.49,175.45,175.41,175.36,175.3,175.24,175.16,175.15
2054,175.13,175.47,175.52,175.7,175.74,175.73,175.7,175.65,175.56,175.46,175.43,175.47
2055,175.5,175.45,175.58,175.64,175.62,175.66,175.67,175.58,175.51,175.45,175.37,175.32
2056,175.38,175.31,175.36,175.42,175.49,175.5,175.47,175.43,175.37,175.27,175.3,175.32
2057,175.25,175.17,175.22,175.31,175.4,175.44,175.47,175.45,175.44,175.38,175.37,175.32
2058,175.26,175.29,175.39,175.45,175.47,175.51,175.51,175.5,175.46,175.36,175.28,175.26
2059,175.2,175.36,175.52,175.69,175.69,175.66,175.63,175.56,175.49,175.49,175.47,175.45
2060,175.42,175.38,175.49,175.57,175.61,175.69,175.7,175.64,175.57,175.53,175.46,175.41
2061,175.4,175.44,175.56,175.61,175.69,175.71,175.67,175.65,175.58,175.47,175.45,175.49
2062,175.49,175.45,175.52,175.58,175.58,175.58,175.57,175.55,175.51,175.47,175.4,175.45
2063,175.41,175.4,175.49,175.56,175.65,175.71,175.71,175.69,175.65,175.59,175.57,175.58
2064,175.65,175.64,175.72,175.75,175.76,175.73,175.68,175.64,175.57,175.47,175.42,175.33
2065,175.25,175.47,175.66,175.76,175.77,175.81,175.8,175.76,175.67,175.61,175.62,175.68
2066,175.74,175.81,175.97,176.03,176.03,175.96,175.9,175.88,175.83,175.79,175.75,175.73
2067,175.73,175.76,175.79,175.84,175.94,175.97,175.96,175.89,175.79,175.76,175.68,175.56
2068,175.48,175.46,175.48,175.6,175.69,175.71,175.74,175.74,175.71,175.66,175.58,175.53
2069,175.56,175.65,175.81,175.85,175.95,176,175.98,175.9,175.79,175.72,175.66,175.67
2070,175.69,175.69,175.7,175.67,175.67,175.71,175.68,175.59,175.56,175.53,175.44,175.39
2071,175.35,175.43,175.49,175.5,175.5,175.48,175.45,175.41,175.39,175.31,175.28,175.24
2072,175.16,175.14,175.36,175.43,175.45,175.46,175.44,175.44,175.41,175.37,175.26,175.23
2073,175.2,175.15,175.18,175.23,175.31,175.34,175.36,175.31,175.21,175.12,175.02,174.98
2074,174.9,174.88,175.01,175.11,175.23,175.26,175.28,175.24,175.18,175.13,175.14,175.16
2075,175.15,175.16,175.22,175.3,175.36,175.41,175.38,175.34,175.25,175.18,175.2,175.19
2076,175.1,175.02,175.11,175.2,175.25,175.26,175.24,175.23,175.14,175.08,175.04,175
2077,175.02,175.08,175.14,175.21,175.22,175.18,175.15,175.1,175.04,175.04,175,174.94
2078,174.93,175.07,175.16,175.19,175.2,175.2,175.18,175.14,175.06,175.02,175.02,175.05
2079,174.97,174.98,175.04,175.17,175.25,175.32,175.42,175.39,175.35,175.31,175.2,175.12
2080,175.07,175.1,175.17,175.25,175.33,175.37,175.38,175.4,175.41,175.38,175.35,175.38
2081,175.31,175.52,175.6,175.86,175.93,175.95,175.93,175.87,175.8,175.69,175.58,175.57
2082,175.52,175.46,175.55,175.65,175.72,175.76,175.77,175.75,175.69,175.66,175.66,175.67
2083,175.64,175.59,175.68,175.82,175.77,175.81,175.78,175.75,175.72,175.66,175.6,175.58
2084,175.55,175.59,175.63,175.66,175.71,175.82,175.82,175.78,175.71,175.62,175.54,175.48
2085,175.5,175.57,175.64,175.72,175.75,175.83,175.84,175.78,175.72,175.61,175.48,175.42
2086,175.34,175.3,175.39,175.46,175.56,175.62,175.66,175.65,175.65,175.63,175.6,175.62
2087,175.59,175.68,175.71,175.88,175.88,175.9,175.91,175.87,175.79,175.68,175.59,175.53
2088,175.48,175.47,175.54,175.59,175.63,175.59,175.57,175.53,175.46,175.42,175.38,175.32
2089,175.27,175.35,175.45,175.57,175.63,175.72,175.73,175.71,175.67,175.61,175.58,175.55
2090,175.55,175.67,175.72,175.78,175.85,175.85,175.82,175.73,175.62,175.53,175.45,175.38
