"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,183.51,183.41,183.36,183.4,183.51,183.61,183.7,183.76,183.79,183.84,183.83,183.73
2022,183.62,183.55,183.52,183.54,183.61,183.66,183.68,183.68,183.68,183.69,183.68,183.6
2023,183.49,183.42,183.4,183.46,183.54,183.6,183.66,183.65,183.62,183.59,183.54,183.47
2024,183.39,183.32,183.28,183.3,183.44,183.59,183.72,183.79,183.77,183.72,183.67,183.59
2025,183.48,183.41,183.37,183.36,183.45,183.56,183.65,183.68,183.64,183.6,183.54,183.48
2026,183.42,183.38,183.39,183.46,183.58,183.7,183.78,183.8,183.82,183.82,183.78,183.69
2027,183.61,183.58,183.59,183.62,183.73,183.83,183.88,183.9,183.89,183.85,183.78,183.69
2028,183.59,183.53,183.49,183.54,183.66,183.77,183.87,183.93,183.92,183.87,183.79,183.7
2029,183.63,183.58,183.55,183.55,183.62,183.67,183.73,183.8,183.84,183.88,183.88,183.81
2030,183.72,183.67,183.65,183.66,183.76,183.9,183.92,183.88,183.86,183.83,183.78,183.68
2031,183.57,183.51,183.48,183.51,183.65,183.82,184.02,184.18,184.25,184.3,184.29,184.17
2032,184.03,183.95,183.92,183.92,183.94,183.98,184,184.03,184.06,184.04,183.96,183.86
2033,183.78,183.74,183.74,183.79,183.87,183.95,183.99,184,184,183.91,183.81,183.71
2034,183.61,183.55,183.53,183.59,183.75,183.87,183.94,184.03,184.08,184.08,184.05,183.96
2035,183.88,183.86,183.88,183.91,183.95,183.99,184.03,184.04,184.03,183.98,183.92,183.87
2036,183.78,183.7,183.68,183.74,183.83,183.91,183.95,183.98,183.98,183.91,183.83,183.74
2037,183.62,183.57,183.56,183.59,183.66,183.68,183.69,183.71,183.74,183.77,183.76,183.7
2038,183.61,183.56,183.54,183.57,183.68,183.77,183.82,183.9,183.94,183.91,183.85,183.76
2039,183.67,183.63,183.62,183.6,183.66,183.77,183.86,183.93,183.99,184.08,184.07,183.98
2040,183.88,183.82,183.81,183.82,183.88,183.95,183.98,184.03,184.04,184,183.97,183.9
2041,183.8,183.74,183.72,183.76,183.81,183.86,183.87,183.86,183.85,183.84,183.81,183.74
2042,183.66,183.57,183.52,183.54,183.66,183.78,183.83,183.83,183.82,183.78,183.71,183.63
2043,183.55,183.52,183.54,183.56,183.58,183.6,183.62,183.65,183.65,183.57,183.49,183.42
2044,183.34,183.25,183.22,183.28,183.37,183.49,183.58,183.59,183.53,183.5,183.47,183.38
2045,183.28,183.23,183.2,183.25,183.38,183.53,183.6,183.62,183.63,183.64,183.58,183.47
2046,183.38,183.35,183.34,183.38,183.51,183.6,183.64,183.7,183.77,183.82,183.83,183.79
2047,183.72,183.66,183.64,183.65,183.66,183.68,183.72,183.76,183.75,183.66,183.58,183.49
2048,183.42,183.37,183.33,183.36,183.45,183.53,183.6,183.64,183.61,183.54,183.46,183.36
2049,183.25,183.19,183.17,183.24,183.38,183.48,183.54,183.57,183.59,183.56,183.49,183.4
2050,183.3,183.25,183.22,183.22,183.27,183.32,183.36,183.4,183.4,183.4,183.39,183.33
2051,183.26,183.21,183.17,183.18,183.26,183.36,183.47,183.52,183.48,183.45,183.43,183.35
2052,183.27,183.21,183.22,183.33,183.46,183.58,183.66,183.7,183.67,183.61,183.57,183.47
2053,183.37,183.33,183.32,183.34,183.42,183.5,183.54,183.58,183.63,183.64,183.65,183.64
2054,183.58,183.52,183.47,183.44,183.47,183.5,183.52,183.52,183.53,183.51,183.47,183.42
2055,183.34,183.28,183.25,183.31,183.41,183.51,183.62,183.69,183.68,183.61,183.57,183.5
2056,183.37,183.31,183.27,183.26,183.32,183.39,183.46,183.49,183.53,183.61,183.63,183.53
2057,183.4,183.34,183.35,183.39,183.44,183.54,183.62,183.65,183.65,183.6,183.54,183.45
2058,183.35,183.3,183.31,183.35,183.42,183.54,183.61,183.63,183.66,183.65,183.62,183.57
2059,183.48,183.41,183.36,183.36,183.45,183.53,183.56,183.6,183.62,183.67,183.69,183.63
2060,183.53,183.45,183.46,183.53,183.58,183.69,183.8,183.85,183.85,183.82,183.8,183.73
2061,183.61,183.51,183.45,183.44,183.46,183.53,183.6,183.6,183.56,183.53,183.47,183.38
2062,183.27,183.21,183.23,183.27,183.36,183.45,183.52,183.55,183.56,183.54,183.47,183.38
2063,183.29,183.25,183.22,183.19,183.26,183.34,183.39,183.4,183.4,183.38,183.35,183.28
