"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,174.82,174.88,174.89,174.99,175.07,175.08,175.01,174.95,174.84,174.74,174.66,174.58
2022,174.56,174.59,174.67,174.81,174.87,174.84,174.8,174.73,174.62,174.53,174.45,174.38
2023,174.36,174.39,174.46,174.51,174.58,174.62,174.59,174.5,174.36,174.27,174.2,174.27
2024,174.36,174.36,174.49,174.62,174.66,174.62,174.54,174.47,174.37,174.25,174.18,174.22
2025,174.28,174.32,174.37,174.44,174.55,174.6,174.58,174.52,174.4,174.3,174.26,174.23
2026,174.24,174.32,174.51,174.66,174.71,174.75,174.74,174.68,174.57,174.47,174.4,174.37
2027,174.38,174.49,174.64,174.72,174.68,174.61,174.54,174.51,174.43,174.3,174.23,174.3
2028,174.44,174.49,174.51,174.57,174.57,174.52,174.51,174.49,174.4,174.27,174.17,174.18
2029,174.25,174.29,174.34,174.44,174.45,174.41,174.37,174.3,174.2,174.08,174.05,174.07
2030,174.09,174.13,174.21,174.41,174.58,174.57,174.51,174.44,174.33,174.31,174.37,174.33
2031,174.38,174.61,174.86,175,174.99,174.92,174.84,174.81,174.75,174.66,174.66,174.7
2032,174.73,174.75,174.86,175.06,175.09,175.02,174.95,174.89,174.83,174.74,174.66,174.65
2033,174.67,174.66,174.66,174.74,174.85,174.93,174.9,174.81,174.73,174.64,174.56,174.54
2034,174.58,174.78,174.98,175.02,175,174.94,174.86,174.76,174.64,174.52,174.43,174.43
2035,174.43,174.6,174.92,175.05,175.14,175.16,175.05,174.93,174.81,174.65,174.53,174.5
2036,174.49,174.56,174.71,174.82,174.88,174.89,174.87,174.82,174.73,174.63,174.67,174.74
2037,174.75,174.76,174.76,174.81,174.94,174.97,174.93,174.85,174.74,174.58,174.46,174.43
2038,174.41,174.47,174.57,174.75,174.86,174.83,174.79,174.73,174.64,174.54,174.43,174.34
2039,174.3,174.35,174.42,174.5,174.54,174.49,174.43,174.38,174.32,174.26,174.22,174.24
2040,174.23,174.25,174.35,174.46,174.48,174.46,174.46,174.44,174.33,174.17,174.04,173.99
2041,173.96,174,174.13,174.25,174.39,174.47,174.45,174.41,174.31,174.2,174.11,174.09
2042,174.14,174.18,174.26,174.36,174.44,174.58,174.62,174.54,174.48,174.38,174.37,174.41
2043,174.44,174.52,174.62,174.7,174.74,174.77,174.77,174.72,174.63,174.53,174.46,174.48
2044,174.61,174.69,174.69,174.71,174.89,175.05,174.98,174.86,174.75,174.64,174.59,174.66
2045,174.74,174.71,174.7,174.76,174.74,174.66,174.6,174.52,174.4,174.27,174.23,174.24
2046,174.31,174.39,174.5,174.6,174.68,174.8,174.84,174.76,174.66,174.55,174.48,174.54
2047,174.63,174.63,174.64,174.76,174.79,174.73,174.66,174.61,174.56,174.5,174.48,174.6
2048,174.74,174.74,174.72,174.74,174.71,174.68,174.66,174.6,174.5,174.38,174.29,174.27
2049,174.28,174.29,174.34,174.44,174.48,174.56,174.6,174.55,174.46,174.37,174.29,174.24
2050,174.3,174.35,174.35,174.42,174.5,174.58,174.64,174.59,174.48,174.39,174.29,174.23
2051,174.4,174.61,174.69,174.77,174.91,175.06,175.05,174.93,174.78,174.61,174.44,174.35
2052,174.4,174.46,174.6,174.8,174.82,174.75,174.66,174.6,174.51,174.38,174.28,174.27
2053,174.33,174.35,174.41,174.49,174.52,174.51,174.47,174.4,174.28,174.21,174.21,174.19
2054,174.2,174.37,174.52,174.58,174.62,174.57,174.49,174.43,174.38,174.32,174.31,174.35
2055,174.35,174.34,174.42,174.53,174.66,174.77,174.81,174.73,174.58,174.44,174.37,174.4
2056,174.4,174.43,174.51,174.55,174.56,174.55,174.52,174.49,174.42,174.31,174.24,174.23
2057,174.32,174.43,174.5,174.57,174.59,174.54,174.46,174.41,174.34,174.28,174.23,174.18
2058,174.17,174.19,174.24,174.32,174.42,174.5,174.49,174.46,174.41,174.36,174.36,174.41
2059,174.4,174.4,174.42,174.43,174.44,174.43,174.45,174.42,174.36,174.31,174.24,174.26
2060,174.31,174.37,174.46,174.59,174.67,174.66,174.63,174.57,174.45,174.3,174.28,174.33
2061,174.38,174.46,174.54,174.6,174.62,174.6,174.57,174.5,174.38,174.28,174.24,174.25
2062,174.33,174.45,174.53,174.58,174.6,174.57,174.51,174.44,174.35,174.23,174.15,174.12
2063,174.11,174.14,174.24,174.34,174.36,174.33,174.27,174.25,174.19,174.1,174.09,174.18
2064,174.35,174.44,174.44,174.49,174.61,174.67,174.63,174.54,174.47,174.43,174.4,174.45
2065,174.47,174.39,174.39,174.47,174.51,174.48,174.5,174.47,174.41,174.32,174.2,174.21
2066,174.31,174.36,174.44,174.59,174.7,174.68,174.62,174.55,174.46,174.35,174.24,174.18
2067,174.21,174.35,174.47,174.56,174.62,174.59,174.54,174.48,174.4,174.35,174.35,174.35
2068,174.39,174.56,174.67,174.67,174.64,174.59,174.51,174.42,174.29,174.18,174.16,174.28
2069,174.38,174.4,174.45,174.52,174.58,174.56,174.52,174.45,174.36,174.27,174.19,174.23
2070,174.31,174.35,174.4,174.46,174.45,174.46,174.45,174.38,174.3,174.2,174.1,174.14
2071,174.21,174.23,174.34,174.44,174.57,174.64,174.61,174.57,174.46,174.34,174.25,174.23
2072,174.27,174.32,174.4,174.56,174.64,174.61,174.58,174.55,174.51,174.44,174.39,174.41
2073,174.48,174.58,174.74,174.84,174.86,174.9,174.9,174.84,174.72,174.57,174.44,174.47
2074,174.65,174.78,174.79,174.87,174.96,175,175.01,174.95,174.87,174.79,174.72,174.68
2075,174.63,174.6,174.64,174.7,174.71,174.67,174.61,174.54,174.42,174.28,174.2,174.16
2076,174.14,174.22,174.33,174.42,174.48,174.56,174.62,174.56,174.52,174.47,174.42,174.44
2077,174.5,174.57,174.66,174.71,174.74,174.77,174.74,174.64,174.56,174.47,174.42,174.45
2078,174.49,174.52,174.6,174.77,174.83,174.74,174.7,174.65,174.59,174.51,174.5,174.5
2079,174.45,174.4,174.44,174.54,174.62,174.67,174.66,174.57,174.45,174.34,174.26,174.26
2080,174.31,174.31,174.35,174.51,174.65,174.74,174.75,174.65,174.56,174.46,174.38,174.42
2081,174.49,174.52,174.56,174.61,174.79,174.89,174.84,174.82,174.78,174.65,174.55,174.66
2082,174.89,174.94,174.85,174.82,174.84,174.88,174.87,174.79,174.67,174.51,174.41,174.36
2083,174.5,174.64,174.69,174.77,175.06,175.29,175.18,175.03,174.93,174.82,174.68,174.6
2084,174.58,174.57,174.64,174.73,174.8,174.83,174.82,174.75,174.7,174.63,174.55,174.57
2085,174.56,174.54,174.61,174.82,174.96,174.92,174.84,174.79,174.66,174.58,174.6,174.67
2086,174.81,174.88,174.93,175.05,175.09,175.04,174.96,174.89,174.81,174.68,174.6,174.7
2087,174.77,174.89,175.04,175.04,175.02,174.93,174.84,174.8,174.76,174.72,174.82,174.89
2088,174.86,174.84,174.88,174.97,174.97,174.9,174.84,174.76,174.65,174.49,174.37,174.33
2089,174.51,174.7,174.77,174.9,174.91,174.84,174.8,174.76,174.67,174.61,174.6,174.65
2090,174.73,174.89,175.1,175.17,175.09,174.97,174.85,174.76,174.63,174.47,174.36,174.31
