"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,174.63,174.55,174.54,174.61,174.66,174.68,174.68,174.6,174.49,174.43,174.44,174.45
2022,174.42,174.39,174.52,174.66,174.7,174.69,174.66,174.58,174.46,174.37,174.34,174.38
2023,174.4,174.47,174.59,174.69,174.79,174.91,174.94,174.89,174.78,174.65,174.55,174.55
2024,174.62,174.74,174.88,174.95,175.01,175.11,175.2,175.13,175.03,174.92,174.9,174.89
2025,174.84,174.84,174.9,174.98,175.01,175,175,174.93,174.85,174.81,174.83,174.84
2026,174.82,174.84,174.94,175.06,175.1,175.09,175.04,174.98,174.91,174.78,174.71,174.74
2027,174.83,174.85,174.92,175.05,175.08,175.07,175.07,175.01,174.91,174.82,174.71,174.69
2028,174.72,174.81,174.91,174.96,175.02,175.02,174.96,174.88,174.78,174.64,174.52,174.5
2029,174.49,174.48,174.52,174.63,174.7,174.68,174.64,174.59,174.53,174.42,174.34,174.39
2030,174.51,174.58,174.66,174.78,174.82,174.77,174.69,174.65,174.59,174.5,174.45,174.6
2031,174.69,174.7,174.77,174.77,174.79,174.77,174.71,174.64,174.55,174.42,174.33,174.29
2032,174.36,174.4,174.42,174.6,174.69,174.65,174.6,174.5,174.42,174.38,174.44,174.57
2033,174.62,174.59,174.65,174.76,174.78,174.75,174.71,174.63,174.54,174.44,174.36,174.39
2034,174.52,174.61,174.69,174.86,174.94,174.87,174.8,174.71,174.62,174.51,174.41,174.38
2035,174.4,174.41,174.48,174.58,174.6,174.61,174.64,174.56,174.45,174.33,174.24,174.19
2036,174.31,174.48,174.56,174.68,174.76,174.73,174.68,174.62,174.53,174.46,174.38,174.39
2037,174.48,174.5,174.48,174.57,174.61,174.57,174.51,174.44,174.36,174.31,174.3,174.36
2038,174.44,174.42,174.47,174.57,174.58,174.54,174.49,174.41,174.29,174.16,174.06,174.06
2039,174.08,174.18,174.29,174.35,174.41,174.4,174.42,174.41,174.36,174.31,174.28,174.35
2040,174.48,174.61,174.74,174.9,174.99,174.97,174.93,174.82,174.67,174.55,174.41,174.34
2041,174.32,174.3,174.36,174.53,174.64,174.65,174.64,174.6,174.57,174.55,174.69,174.87
2042,174.91,174.88,174.9,175.02,175.06,175.08,175.07,174.97,174.86,174.77,174.71,174.7
2043,174.74,174.8,174.83,174.89,174.88,174.82,174.77,174.68,174.61,174.58,174.59,174.64
2044,174.7,174.77,174.88,175.01,175.12,175.17,175.17,175.12,175.03,174.94,174.84,174.8
2045,174.81,174.89,174.96,174.98,175.03,175.07,175.02,174.92,174.82,174.74,174.68,174.71
2046,174.87,174.98,174.99,175.14,175.26,175.22,175.22,175.17,175.08,175.01,174.92,174.86
2047,174.84,174.96,175.11,175.24,175.3,175.22,175.12,175.04,174.92,174.75,174.65,174.61
2048,174.68,174.75,174.79,174.89,174.95,174.97,175.04,175,174.87,174.75,174.65,174.77
2049,175.04,175.17,175.16,175.18,175.15,175.04,174.95,174.89,174.78,174.64,174.56,174.53
2050,174.56,174.66,174.69,174.69,174.67,174.62,174.59,174.52,174.4,174.27,174.2,174.21
2051,174.28,174.39,174.63,174.87,174.97,175.05,175.07,175,174.9,174.82,174.79,174.81
2052,174.83,175.13,175.39,175.36,175.35,175.3,175.24,175.16,175.03,174.94,174.88,174.87
2053,174.92,175.06,175.16,175.22,175.22,175.15,175.07,174.96,174.87,174.8,174.91,175.07
2054,175.09,175.08,175.17,175.28,175.29,175.27,175.24,175.19,175.12,175.03,175,175.06
2055,175.11,175.18,175.31,175.5,175.54,175.47,175.4,175.27,175.13,175,174.88,174.82
2056,174.78,174.82,174.98,175.09,175.22,175.35,175.33,175.23,175.22,175.19,175.12,175.32
2057,175.42,175.26,175.23,175.26,175.35,175.41,175.35,175.27,175.17,175.12,175.08,175.06
2058,175.05,175.17,175.31,175.37,175.38,175.27,175.14,175.01,174.89,174.76,174.66,174.62
2059,174.64,174.66,174.75,174.88,174.91,174.88,174.87,174.81,174.73,174.6,174.47,174.43
2060,174.5,174.54,174.56,174.66,174.83,174.95,174.94,174.87,174.78,174.71,174.66,174.63
2061,174.74,174.95,175.03,175.03,175.06,175.02,174.93,174.85,174.76,174.65,174.58,174.64
2062,175.03,175.38,175.46,175.4,175.42,175.43,175.32,175.18,175.05,174.93,174.84,174.86
2063,174.93,174.89,174.86,174.9,174.93,174.88,174.82,174.76,174.7,174.64,174.61,174.66
2064,174.66,174.57,174.58,174.66,174.67,174.61,174.56,174.48,174.38,174.28,174.18,174.16
2065,174.23,174.33,174.45,174.61,174.69,174.68,174.65,174.6,174.52,174.45,174.43,174.41
2066,174.42,174.44,174.53,174.66,174.74,174.73,174.67,174.6,174.52,174.45,174.42,174.41
