"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,177.1,177.09,177.11,177.21,177.33,177.44,177.53,177.5,177.41,177.35,177.3,177.24
2022,177.18,177.15,177.17,177.23,177.29,177.32,177.35,177.33,177.34,177.31,177.26,177.27
2023,177.26,177.23,177.23,177.29,177.37,177.42,177.45,177.42,177.38,177.29,177.2,177.13
2024,177.07,177.02,176.99,177.05,177.13,177.16,177.15,177.11,177.05,176.98,176.89,176.76
2025,176.69,176.68,176.74,176.84,176.97,177.09,177.15,177.14,177.09,177.04,176.99,176.94
2026,176.89,176.85,176.86,176.94,177.03,177.11,177.18,177.17,177.13,177.09,177.02,176.92
2027,176.84,176.77,176.72,176.76,176.87,176.97,177.03,177.02,177.05,177.1,177.11,177.07
2028,177,176.95,176.94,177.01,177.13,177.24,177.33,177.4,177.53,177.63,177.58,177.5
2029,177.43,177.39,177.39,177.46,177.54,177.61,177.68,177.69,177.64,177.55,177.44,177.32
2030,177.24,177.2,177.18,177.23,177.39,177.51,177.58,177.58,177.63,177.66,177.61,177.53
2031,177.43,177.37,177.36,177.39,177.45,177.49,177.48,177.43,177.33,177.25,177.2,177.11
2032,177.03,176.97,176.94,177.05,177.17,177.22,177.27,177.3,177.27,177.24,177.21,177.15
2033,177.09,177.03,177.01,177.05,177.07,177.08,177.1,177.1,177.11,177.09,177.04,177.01
2034,176.98,177,177.04,177.1,177.18,177.25,177.29,177.27,177.22,177.2,177.19,177.16
2035,177.12,177.11,177.12,177.15,177.19,177.22,177.21,177.18,177.12,177.05,176.96,176.84
2036,176.75,176.7,176.69,176.71,176.75,176.78,176.78,176.8,176.84,176.8,176.72,176.62
2037,176.54,176.5,176.52,176.64,176.81,176.93,176.98,176.98,176.94,176.95,176.96,176.9
2038,176.85,176.85,176.88,176.95,177,177.02,177.01,176.94,176.83,176.72,176.59,176.46
2039,176.39,176.37,176.39,176.45,176.54,176.64,176.71,176.73,176.75,176.79,176.82,176.8
2040,176.75,176.73,176.77,176.85,176.94,177.02,177.07,177.05,177.02,177,176.95,176.93
2041,176.91,176.87,176.89,177.02,177.19,177.28,177.29,177.26,177.22,177.15,177.08,177.02
2042,176.97,176.95,176.99,177.08,177.17,177.27,177.33,177.32,177.25,177.13,177.02,176.93
2043,176.87,176.86,176.87,176.93,177.03,177.12,177.16,177.17,177.15,177.12,177.07,176.98
2044,176.91,176.87,176.89,177.01,177.12,177.2,177.26,177.25,177.19,177.12,177.05,176.97
2045,176.91,176.88,176.88,176.94,177.07,177.17,177.24,177.25,177.19,177.12,177.11,177.09
2046,176.99,176.93,176.93,177.01,177.05,177.04,177.05,177.04,177.02,177,176.92,176.83
2047,176.77,176.76,176.77,176.86,176.98,177.03,177.03,177,176.98,176.94,176.88,176.8
2048,176.71,176.69,176.69,176.73,176.82,176.86,176.86,176.82,176.8,176.8,176.77,176.72
2049,176.67,176.6,176.55,176.58,176.69,176.79,176.85,176.85,176.88,176.93,176.94,176.91
2050,176.89,176.93,176.98,177.06,177.16,177.23,177.25,177.27,177.24,177.17,177.11,177.05
2051,177.03,177.02,177.01,177.07,177.18,177.29,177.38,177.39,177.36,177.3,177.19,177.1
2052,177.06,177.03,177.05,177.13,177.2,177.21,177.21,177.19,177.15,177.12,177.08,177.03
2053,176.99,176.97,176.93,176.96,177.08,177.14,177.15,177.13,177.13,177.13,177.12,177.1
2054,177.09,177.07,177.04,177.05,177.11,177.16,177.17,177.16,177.13,177.07,176.98,176.86
2055,176.82,176.88,176.93,177.03,177.19,177.34,177.39,177.39,177.38,177.31,177.22,177.16
2056,177.1,177.11,177.18,177.28,177.41,177.52,177.57,177.59,177.57,177.49,177.4,177.3
2057,177.23,177.23,177.28,177.36,177.43,177.49,177.5,177.47,177.4,177.32,177.27,177.21
2058,177.14,177.07,177.02,177.06,177.19,177.27,177.3,177.29,177.25,177.21,177.14,177.08
2059,177.05,177.05,177.08,177.18,177.29,177.35,177.37,177.36,177.34,177.29,177.24,177.18
2060,177.13,177.08,177.09,177.17,177.26,177.33,177.37,177.41,177.41,177.42,177.42,177.35
2061,177.26,177.19,177.17,177.21,177.29,177.35,177.39,177.39,177.37,177.38,177.36,177.33
2062,177.33,177.33,177.37,177.45,177.47,177.45,177.45,177.42,177.38,177.34,177.28,177.16
2063,177.08,177.04,177.07,177.21,177.35,177.47,177.54,177.53,177.48,177.46,177.42,177.35
2064,177.3,177.29,177.33,177.43,177.54,177.64,177.66,177.65,177.6,177.55,177.5,177.42
2065,177.39,177.42,177.41,177.39,177.42,177.46,177.47,177.45,177.4,177.31,177.2,177.08
2066,176.99,176.98,176.98,177.05,177.15,177.21,177.25,177.23,177.22,177.17,177.1,177.05
2067,177,176.95,176.95,177.03,177.1,177.12,177.11,177.12,177.17,177.2,177.19,177.19
2068,177.14,177.1,177.12,177.19,177.27,177.35,177.41,177.43,177.39,177.35,177.29,177.19
2069,177.12,177.1,177.12,177.17,177.22,177.27,177.28,177.26,177.2,177.09,176.99,176.92
2070,176.85,176.79,176.8,176.87,176.93,177.01,177.06,177.07,177.05,177.03,176.98,176.89
2071,176.84,176.89,177.03,177.15,177.21,177.28,177.3,177.31,177.27,177.16,177.06,176.96
2072,176.91,176.94,177.03,177.22,177.43,177.6,177.69,177.7,177.69,177.68,177.62,177.53
2073,177.43,177.33,177.29,177.35,177.44,177.48,177.48,177.46,177.42,177.4,177.36,177.3
2074,177.22,177.21,177.27,177.34,177.38,177.43,177.45,177.42,177.34,177.22,177.11,177
2075,176.94,176.91,176.91,177.01,177.18,177.35,177.45,177.47,177.42,177.36,177.28,177.16
2076,177.1,177.1,177.11,177.21,177.34,177.41,177.45,177.46,177.42,177.35,177.3,177.24
2077,177.16,177.12,177.17,177.28,177.34,177.35,177.33,177.33,177.3,177.2,177.11,177.03
2078,177,177.03,177.05,177.15,177.28,177.33,177.36,177.37,177.33,177.29,177.27,177.22
2079,177.16,177.1,177.09,177.14,177.2,177.23,177.25,177.24,177.18,177.08,176.95,176.85
2080,176.8,176.78,176.84,176.93,176.98,177.03,177.07,177.09,177.07,177.02,176.95,176.86
2081,176.85,176.87,176.88,177,177.16,177.26,177.29,177.26,177.18,177.06,176.94,176.82
2082,176.73,176.67,176.64,176.68,176.74,176.82,176.87,176.88,176.85,176.8,176.81,176.79
2083,176.74,176.71,176.75,176.83,176.89,176.98,177.04,177.02,176.98,176.95,176.89,176.81
2084,176.78,176.73,176.7,176.77,176.96,177.13,177.22,177.29,177.29,177.29,177.37,177.41
2085,177.37,177.32,177.27,177.28,177.37,177.46,177.53,177.56,177.58,177.59,177.57,177.54
2086,177.51,177.52,177.55,177.63,177.77,177.89,177.91,177.88,177.84,177.78,177.75,177.71
2087,177.64,177.6,177.58,177.61,177.65,177.67,177.69,177.69,177.67,177.61,177.52,177.45
2088,177.4,177.34,177.33,177.38,177.43,177.45,177.45,177.43,177.4,177.38,177.34,177.23
2089,177.15,177.16,177.23,177.34,177.43,177.48,177.48,177.44,177.39,177.37,177.33,177.23
2090,177.13,177.08,177.07,177.12,177.22,177.3,177.34,177.34,177.3,177.23,177.18,177.12
