"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,183.53,183.47,183.45,183.53,183.68,183.77,183.83,183.87,183.9,183.85,183.74,183.62
2022,183.51,183.42,183.37,183.41,183.49,183.58,183.64,183.64,183.64,183.65,183.65,183.6
2023,183.51,183.5,183.55,183.59,183.65,183.71,183.74,183.77,183.81,183.82,183.79,183.67
2024,183.55,183.49,183.47,183.51,183.59,183.65,183.68,183.73,183.74,183.72,183.66,183.55
2025,183.46,183.42,183.41,183.45,183.53,183.61,183.69,183.73,183.74,183.74,183.69,183.59
2026,183.47,183.39,183.35,183.37,183.46,183.55,183.6,183.6,183.56,183.5,183.45,183.4
2027,183.33,183.25,183.21,183.23,183.3,183.38,183.42,183.47,183.53,183.53,183.47,183.38
2028,183.3,183.26,183.25,183.29,183.39,183.49,183.57,183.63,183.64,183.59,183.51,183.42
2029,183.34,183.24,183.19,183.25,183.39,183.52,183.61,183.66,183.66,183.61,183.62,183.62
2030,183.55,183.46,183.4,183.44,183.51,183.55,183.61,183.66,183.66,183.61,183.53,183.43
2031,183.37,183.35,183.33,183.35,183.48,183.6,183.63,183.64,183.61,183.58,183.54,183.48
2032,183.4,183.36,183.36,183.36,183.4,183.45,183.5,183.53,183.5,183.44,183.37,183.27
2033,183.21,183.18,183.15,183.18,183.32,183.45,183.54,183.6,183.65,183.67,183.65,183.6
2034,183.49,183.39,183.34,183.38,183.51,183.63,183.68,183.68,183.68,183.69,183.67,183.6
2035,183.52,183.45,183.45,183.54,183.66,183.76,183.86,183.93,183.94,183.93,183.9,183.86
2036,183.8,183.71,183.66,183.68,183.73,183.79,183.84,183.84,183.77,183.73,183.7,183.65
2037,183.61,183.55,183.49,183.45,183.47,183.5,183.53,183.54,183.5,183.45,183.41,183.32
2038,183.21,183.15,183.15,183.2,183.27,183.33,183.41,183.48,183.56,183.72,183.84,183.86
2039,183.8,183.71,183.66,183.69,183.8,183.9,183.94,183.95,183.92,183.87,183.79,183.7
2040,183.61,183.54,183.51,183.54,183.6,183.66,183.7,183.71,183.72,183.69,183.62,183.54
2041,183.46,183.4,183.37,183.39,183.44,183.48,183.51,183.55,183.58,183.6,183.57,183.49
2042,183.41,183.36,183.32,183.37,183.47,183.58,183.66,183.68,183.73,183.78,183.74,183.64
2043,183.53,183.43,183.4,183.44,183.5,183.56,183.6,183.6,183.57,183.55,183.51,183.46
2044,183.4,183.35,183.33,183.39,183.5,183.62,183.72,183.79,183.81,183.8,183.77,183.68
2045,183.58,183.53,183.55,183.59,183.67,183.77,183.82,183.85,183.84,183.74,183.67,183.62
2046,183.52,183.46,183.45,183.49,183.57,183.68,183.75,183.74,183.72,183.68,183.65,183.59
2047,183.5,183.44,183.41,183.44,183.52,183.6,183.65,183.66,183.64,183.59,183.52,183.43
2048,183.34,183.31,183.3,183.36,183.46,183.57,183.69,183.75,183.74,183.7,183.67,183.6
2049,183.51,183.42,183.37,183.4,183.47,183.53,183.6,183.65,183.68,183.68,183.65,183.6
2050,183.52,183.46,183.43,183.46,183.59,183.7,183.77,183.8,183.77,183.73,183.64,183.57
2051,183.5,183.45,183.43,183.43,183.56,183.69,183.72,183.74,183.73,183.71,183.66,183.56
2052,183.46,183.41,183.4,183.43,183.55,183.67,183.74,183.8,183.81,183.78,183.74,183.64
2053,183.52,183.42,183.35,183.38,183.5,183.57,183.6,183.61,183.62,183.62,183.57,183.5
2054,183.4,183.33,183.31,183.36,183.46,183.56,183.62,183.64,183.62,183.57,183.49,183.4
2055,183.32,183.27,183.24,183.31,183.44,183.54,183.64,183.73,183.79,183.78,183.71,183.65
2056,183.56,183.46,183.38,183.38,183.44,183.51,183.55,183.56,183.56,183.55,183.51,183.47
2057,183.42,183.38,183.34,183.34,183.43,183.55,183.65,183.68,183.67,183.65,183.61,183.52
2058,183.43,183.37,183.33,183.4,183.49,183.55,183.58,183.59,183.55,183.5,183.44,183.35
2059,183.29,183.24,183.21,183.25,183.32,183.42,183.5,183.53,183.57,183.56,183.52,183.46
2060,183.37,183.28,183.2,183.2,183.24,183.3,183.35,183.39,183.41,183.39,183.3,183.24
2061,183.2,183.14,183.08,183.1,183.26,183.41,183.51,183.58,183.58,183.52,183.46,183.4
2062,183.3,183.23,183.17,183.17,183.27,183.37,183.41,183.42,183.43,183.45,183.43,183.34
2063,183.25,183.21,183.21,183.23,183.27,183.35,183.46,183.52,183.58,183.63,183.59,183.5
2064,183.4,183.32,183.26,183.31,183.41,183.48,183.55,183.57,183.58,183.56,183.51,183.44
2065,183.36,183.3,183.29,183.35,183.43,183.52,183.62,183.7,183.69,183.59,183.5,183.38
2066,183.28,183.22,183.14,183.19,183.3,183.37,183.42,183.43,183.4,183.31,183.21,183.14
2067,183.08,183.04,183.01,183.05,183.15,183.26,183.36,183.46,183.52,183.53,183.52,183.48
2068,183.37,183.31,183.28,183.29,183.4,183.49,183.55,183.62,183.66,183.62,183.54,183.47
2069,183.41,183.35,183.28,183.28,183.39,183.52,183.63,183.71,183.73,183.73,183.71,183.63
2070,183.54,183.46,183.43,183.46,183.51,183.6,183.66,183.66,183.6,183.54,183.45,183.33
2071,183.24,183.19,183.16,183.18,183.28,183.37,183.46,183.6,183.68,183.66,183.61,183.54
2072,183.46,183.39,183.35,183.36,183.45,183.54,183.63,183.71,183.73,183.72,183.7,183.63
2073,183.54,183.49,183.5,183.57,183.63,183.7,183.75,183.76,183.76,183.7,183.62,183.54
2074,183.43,183.35,183.33,183.37,183.44,183.54,183.61,183.62,183.63,183.61,183.57,183.48
2075,183.38,183.31,183.28,183.33,183.44,183.53,183.59,183.65,183.69,183.69,183.66,183.6
2076,183.52,183.46,183.49,183.59,183.67,183.74,183.81,183.84,183.87,183.89,183.85,183.77
2077,183.67,183.58,183.53,183.55,183.62,183.69,183.72,183.72,183.7,183.71,183.74,183.68
2078,183.58,183.51,183.5,183.6,183.73,183.81,183.85,183.91,183.95,183.93,183.88,183.79
2079,183.69,183.65,183.62,183.63,183.69,183.73,183.75,183.72,183.67,183.6,183.53,183.43
2080,183.31,183.21,183.16,183.21,183.33,183.46,183.54,183.59,183.64,183.68,183.67,183.61
2081,183.52,183.45,183.41,183.42,183.47,183.5,183.52,183.54,183.6,183.67,183.68,183.66
2082,183.6,183.51,183.44,183.48,183.6,183.69,183.74,183.72,183.66,183.57,183.48,183.37
2083,183.27,183.21,183.19,183.27,183.41,183.49,183.52,183.53,183.54,183.55,183.51,183.43
2084,183.37,183.32,183.31,183.37,183.45,183.54,183.59,183.56,183.5,183.46,183.41,183.32
2085,183.24,183.17,183.13,183.13,183.18,183.26,183.33,183.36,183.39,183.4,183.37,183.32
2086,183.26,183.22,183.19,183.22,183.35,183.48,183.58,183.68,183.75,183.71,183.67,183.6
2087,183.49,183.41,183.36,183.36,183.47,183.55,183.64,183.69,183.66,183.65,183.62,183.52
2088,183.43,183.39,183.37,183.41,183.5,183.57,183.63,183.69,183.7,183.61,183.51,183.42
2089,183.33,183.25,183.19,183.22,183.27,183.33,183.39,183.41,183.4,183.38,183.33,183.27
2090,183.21,183.18,183.17,183.25,183.39,183.5,183.57,183.59,183.58,183.56,183.51,183.42
