"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,175.64,175.65,175.81,175.93,175.89,175.96,175.96,175.89,175.8,175.84,175.88,175.77
2022,175.75,175.75,175.75,175.76,175.82,175.83,175.8,175.74,175.67,175.56,175.46,175.41
2023,175.37,175.51,175.61,175.65,175.66,175.63,175.57,175.53,175.46,175.33,175.22,175.13
2024,175.11,175.31,175.45,175.42,175.37,175.3,175.22,175.15,175.11,175.04,174.99,175.01
2025,174.96,174.96,175.04,175.26,175.42,175.54,175.54,175.51,175.46,175.42,175.4,175.44
2026,175.4,175.39,175.48,175.55,175.58,175.56,175.55,175.53,175.46,175.39,175.34,175.36
2027,175.29,175.27,175.33,175.33,175.43,175.47,175.47,175.44,175.38,175.3,175.25,175.28
2028,175.29,175.3,175.43,175.52,175.52,175.43,175.34,175.27,175.2,175.16,175.12,175.08
2029,175.04,175.1,175.18,175.27,175.28,175.24,175.19,175.12,175.05,175.08,175.07,175.05
2030,175.03,175.05,175.17,175.31,175.35,175.39,175.39,175.34,175.29,175.21,175.14,175.13
2031,175.07,175.1,175.24,175.37,175.44,175.46,175.49,175.46,175.4,175.33,175.26,175.25
2032,175.23,175.25,175.35,175.43,175.44,175.39,175.34,175.29,175.18,175.08,175.02,174.99
2033,174.95,174.99,175.09,175.24,175.35,175.35,175.32,175.27,175.24,175.25,175.22,175.18
2034,175.15,175.22,175.38,175.48,175.51,175.54,175.56,175.54,175.5,175.43,175.34,175.27
2035,175.27,175.29,175.32,175.4,175.44,175.42,175.37,175.32,175.27,175.24,175.19,175.13
2036,175.08,175.07,175.23,175.31,175.34,175.4,175.45,175.37,175.34,175.34,175.25,175.19
2037,175.23,175.33,175.46,175.49,175.52,175.61,175.67,175.68,175.64,175.58,175.54,175.54
2038,175.51,175.54,175.67,175.83,175.86,175.84,175.84,175.83,175.8,175.76,175.7,175.65
2039,175.77,175.81,175.87,175.91,176.01,176.13,176.09,176.03,175.98,175.91,175.79,175.77
2040,175.69,175.69,175.78,175.87,175.98,176.07,176.04,175.94,175.86,175.75,175.73,175.65
2041,175.54,175.48,175.54,175.59,175.58,175.57,175.54,175.53,175.46,175.34,175.28,175.24
2042,175.16,175.13,175.23,175.35,175.38,175.4,175.39,175.37,175.35,175.36,175.42,175.43
2043,175.41,175.37,175.39,175.42,175.4,175.39,175.37,175.3,175.23,175.14,175.05,175.01
